Airtables :
    Airtable :
      Name: airtable_1   ; 
      TableOfLiftCoefficients :
         NumberOfTerms :          2 ,        135 ;
           19    0.3504721562    0.3504721562 
           20    0.354399184239    0.354399184239 
           21    0.3580004245    0.3580004245 
           22    0.3616290323333333    0.3616290323333333 
           23    0.3653625637666666    0.3653625637666666 
           24    0.3691835315333333    0.3691835315333333 
           25    0.3730919356333333    0.3730919356333333 
           26    0.3770440579    0.3770440579 
           27    0.3810473304216666    0.3810473304216666 
           28    0.3850882005666666    0.3850882005666666 
           29    0.3891448092516666    0.3891448092516666 
           30    0.3932022923    0.3932022923 
           31    0.3972483211886666    0.3972483211886666 
           32    0.4012726658666667    0.4012726658666667 
           33    0.4052668450096666    0.4052668450096666 
           34    0.4092258747466666    0.4092258747466666 
           35    0.4131465199333333    0.4131465199333333 
           36    0.4170243213166667    0.4170243213166667 
           37    0.4208514096266666    0.4208514096266666 
           38    0.4246199155933332    0.4246199155933332 
           39    0.4283237186733332    0.4283237186733332 
           40    0.4319540752333333    0.4319540752333333 
           41    0.4355031160033334    0.4355031160033334 
           42    0.4389655948033333    0.4389655948033333 
           43    0.4423345167266665    0.4423345167266665 
           44    0.44560376123    0.44560376123 
           45    0.4487680821333333    0.4487680821333333 
           46    0.45182048453    0.45182048453 
           47    0.4547557222399998    0.4547557222399998 
           48    0.4575685490833334    0.4575685490833334 
           49    0.4602519701533332    0.4602519701533332 
           50    0.4628016136333333    0.4628016136333333 
           60    0.479930391333333    0.479930391333333 
           70    0.4798167240999998    0.4798167240999998 
           80    0.4622157901999999    0.4622157901999999 
           90    0.4407501703666664    0.4407501703666664 
          100    0.4400157051666664    0.4400157051666664 
          110    0.4340612908666667    0.4340612908666667 
          120    0.4231317491999999    0.4231317491999999 
          130    0.4077254672666666    0.4077254672666666 
          140    0.3887780138333333    0.3887780138333333 
          150    0.3677670629333333    0.3677670629333333 
          160    0.3469134974333333    0.3469134974333333 
          170    0.3293999998666667    0.3293999998666667 
          180    0.3246609506    0.3246609506 
         ;
      TableOfMomeCoefficients : 
         NumberOfTerms :          2 ,        135 ;
                      0               10000000000  
         -180             0             0 
         -170    0.01483794576666664    0.01483794576666664 
         -160    0.02459584056666664    0.02459584056666664 
         -150    0.03074261479999996    0.03074261479999996 
         -140    0.03432750446666666    0.03432750446666666 
         -130    0.0360762311333333    0.0360762311333333 
         -120    0.03651341279999998    0.03651341279999998 
         -110    0.03599753843333331    0.03599753843333331 
         -100    0.03479091703333331    0.03479091703333331 
          -90    0.03305967763333334    0.03305967763333334 
          -80    0.03090000019999994    0.03090000019999994 
          -70    0.02836434653333331    0.02836434653333331 
          -60    0.02547894753333335    0.02547894753333335 
          -50    0.02223505956666666    0.02223505956666666 
          -49    0.02189195939466662    0.02189195939466662 
          -48    0.02154483715133329    0.02154483715133329 
          -47    0.02119351796399999    0.02119351796399999 
          -46    0.02083773952366666    0.02083773952366666 
          -45    0.02047758926666665    0.02047758926666665 
          -44    0.02011289232033331    0.02011289232033331 
          -43    0.01974391099366665    0.01974391099366665 
          -42    0.01937108246833333    0.01937108246833333 
          -41    0.01899475648966664    0.01899475648966664 
          -40    0.01861519536666664    0.01861519536666664 
          -39    0.01823274884466666    0.01823274884466666 
          -38    0.01784697974199997    0.01784697974199997 
          -37    0.01745745087699999    0.01745745087699999 
          -36    0.01706381250433331    0.01706381250433331 
          -35    0.0166653651333333    0.0166653651333333 
          -34    0.01626193389133332    0.01626193389133332 
          -33    0.01585351877833333    0.01585351877833333 
